[(0, 135.019, 10.0877, 115.597, 0, 144.088, 3.72584, 65.4064, 10.7409, 134.841, 186.656, 0.28), (2, 240), (0, 135.069, 10.0716, 118.518, 0, 144.127, 3.68262, 65.4562, 10.6924, 134.893, 186.641, 0.28), -38.34584938591289]
[(0, 135.069, 10.0716, 118.518, 0, 144.127, 3.68262, 65.4562, 10.6924, 134.893, 186.641, 0.28), (2, 60), (0, 135.206, 10.0232, 119.353, 0, 144.231, 3.56634, 65.602, 10.5499, 135.015, 186.516, 2.54), -38.698070670911385]
[(0, 135.206, 10.0232, 119.353, 0, 144.231, 3.56634, 65.602, 10.5499, 135.015, 186.516, 2.54), (2, 300), (0, 135.325, 9.98514, 114.93, 0, 144.323, 3.46466, 65.7195, 10.4353, 135.139, 186.481, 2.54), -39.006032391970166]
[(0, 135.325, 9.98514, 114.93, 0, 144.323, 3.46466, 65.7195, 10.4353, 135.139, 186.481, 2.54), (2, 60), (0, 135.535, 9.93066, 109.522, 0, 144.493, 3.27852, 65.8987, 10.2615, 135.273, 186.266, 6.69), -39.56957387342916]
[(0, 135.535, 9.93066, 109.522, 0, 144.493, 3.27852, 65.8987, 10.2615, 135.273, 186.266, 6.69), (2, 60), (0, 135.72, 9.88884, 106.972, 0, 144.647, 3.11265, 66.0426, 10.1224, 135.464, 186.229, 6.69), -40.071659422356056]
[(0, 135.72, 9.88884, 106.972, 0, 144.647, 3.11265, 66.0426, 10.1224, 135.464, 186.229, 6.69), (2, 0), (0, 136.043, 9.82508, 103.1, 0, 144.919, 2.8204, 66.273, 9.90061, 135.679, 185.992, 11.13), -40.95614292272047]
[(0, 136.043, 9.82508, 103.1, 0, 144.919, 2.8204, 66.273, 9.90061, 135.679, 185.992, 11.13), (2, 120), (0, 136.284, 9.78002, 105.071, 0, 145.125, 2.60026, 66.4399, 9.74021, 135.927, 185.954, 11.13), -41.62226705677804]
[(0, 136.284, 9.78002, 105.071, 0, 145.125, 2.60026, 66.4399, 9.74021, 135.927, 185.954, 11.13), (2, 120), (0, 136.698, 9.69685, 106.602, 0, 145.473, 2.2263, 66.7404, 9.45081, 136.118, 185.614, 17.91), -42.75381580537594]
[(0, 136.698, 9.69685, 106.602, 0, 145.473, 2.2263, 66.7404, 9.45081, 136.118, 185.614, 17.91), (2, 0), (0, 136.982, 9.64341, 102.383, 0, 145.715, 1.96786, 66.9389, 9.25989, 136.41, 185.569, 17.91), -43.53567460744016]
[(0, 136.982, 9.64341, 102.383, 0, 145.715, 1.96786, 66.9389, 9.25989, 136.41, 185.569, 17.91), (2, 60), (0, 137.445, 9.5687, 100.353, 0, 146.114, 1.54257, 67.2347, 8.97678, 136.528, 185.214, 25.84), -44.822043492464324]
